URLs Downloaded, Size(KB), # of Outlinks Found, Content Type
https://www.latimes.com/, 506, 227, text/html
https://www.latimes.com/california/story/2021-09-01/covid-19-vaccine-proof-in-l-a-businesses-what-to-know, 305, 137, text/html
https://www.latimes.com/california/story/2021-08-13/recall-candidate-larry-elder-disclose-finances, 277, 133, text/html
https://www.latimes.com/food/ndqarubbrz0-123, 212, 110, text/html
https://www.latimes.com/about/virtual-events, 210, 130, text/html
https://www.latimes.com/opinion/story/2021-09-22/haitian-migrants-del-rio-border-patrol-horseback, 270, 137, text/html
https://www.latimes.com/california/story/2021-09-14/photos-californians-stream-to-polls-for-recall-vote, 330, 116, text/html
https://www.latimes.com/politics/newsletter/2021-09-22/essential-politics-a-rise-in-threats-is-forcing-lawmakers-to-balance-safety-and-accessibility-essential-politics, 280, 135, text/html
https://www.latimes.com/people/cody-long, 240, 118, text/html
https://www.latimes.com/espanol/, 387, 134, text/html
https://www.latimes.com/obituaries, 292, 131, text/html
https://www.latimes.com/about/events/story/2020-10-13/we-can-teach-you-that, 295, 138, text/html
https://www.latimes.com/lifestyle/story/2021-09-03/from-the-archives-la-affairs-columns-set-against-the-backdrop-of-summer, 297, 138, text/html
https://www.latimes.com/entertainment-arts/tv/story/2021-09-22/kathryn-hahn-to-play-late-comic-joan-rivers-in-biopic-series-the-comeback-girl, 292, 134, text/html
https://www.latimes.com/sports/dodgers/story/2021-09-21/albert-pujols-rbi-single-in-10th-seals-dodgers-win-over-rockies, 261, 129, text/html
https://www.latimes.com/politics/story/2021-09-14/5-takeaways-from-the-recall-election-newsom-blowout, 311, 148, text/html
https://www.latimes.com/b2b/business-visionaries, 216, 117, text/html
https://www.latimes.com/opinion/story/2021-09-21/joe-biden-foreign-policy-donald-trump-bernie-sanders, 279, 137, text/html
https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/embedVaccines/, 397, 9, text/html
https://www.latimes.com/politics/story/2021-09-20/what-would-happen-if-congress-didnt-raise-the-federal-debt-limit, 311, 148, text/html
https://www.latimes.com/executive-team, 307, 133, text/html
https://www.latimes.com/entertainment-arts/story/2021-09-19/casa-0101-small-theaters-sb-805-covid-recovery, 343, 135, text/html
https://www.latimes.com/espanol/vida-y-estilo/articulo/2021-09-19/monterrey-huellas-del-pasado, 239, 81, text/html
https://www.latimes.com/business/story/2021-09-21/buying-a-house-la-brace-for-expensive-real-estate, 288, 130, text/html
https://www.latimes.com/about/for-the-record/, 204, 124, text/html
https://www.latimes.com/topic/education, 338, 149, text/html
https://www.latimes.com/about, 197, 116, text/html
https://www.latimes.com/espanol/eeuu/articulo/2021-09-21/mujer-de-74-anos-salva-a-su-perro-arrojandose-sobre-un-caiman-de-1-80-metros, 252, 83, text/html
https://www.latimes.com/sports/dodgers/story/2021-09-20/dodgers-giants-major-league-baseball-wild-card-home-field-world-series, 248, 129, text/html
https://www.latimes.com/sports/sign-up-for-full-court-text, 199, 109, text/html
https://www.latimes.com/politics/story/2021-09-22/biden-will-promise-more-vaccines-to-boost-worldwide-inoculation-rates, 293, 138, text/html
https://www.latimes.com/science/story/2021-04-13/q-a-what-are-covid-19-vaccine-passports, 311, 143, text/html
https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/es/embed/, 6, 6, text/html
https://www.latimes.com/opinion/story/2021-09-22/granderson-the-nfl-should-stop-running-from-its-racial-history, 273, 127, text/html
https://www.latimes.com/california/story/2021-08-27/before-california-recall-larry-elder-charity-failed, 298, 139, text/html
https://www.latimes.com/about/the-ultimate-summer-movie-showdown-past-events, 201, 127, text/html
https://www.latimes.com/recipe/list/fresh-pistachios-in-season-worth-the-search, 343, 138, text/html
https://www.latimes.com/espanol/vida-y-estilo/articulo/2021-09-19/un-espacio-para-sonar-y-recargar-energia, 236, 81, text/html
https://www.latimes.com/lifestyle/image, 285, 124, text/html
https://www.latimes.com/topic/covid-19-vaccines, 318, 142, text/html
https://www.latimes.com/podcasts, 257, 119, text/html
https://www.latimes.com/entertainment-arts/tv/story/2021-09-22/the-wonder-years-doogie-kamealoha-md-review, 323, 140, text/html
https://www.latimes.com/ask-a-reporter, 268, 131, text/html
https://www.latimes.com/apple-touch-icon.png, 3, 0, image/png
https://www.latimes.com/espanol/eeuu/articulo/2021-09-21/la-ce-compra-a-una-farmaceutica-estadounidense-un-nuevo-tratamiento-contra-la-covid, 247, 85, text/html
https://www.latimes.com/travel/story/2021-09-20/new-museum-shows-off-yosemite-climbing-greats-gear, 313, 135, text/html
https://www.latimes.com/food, 435, 166, text/html
https://www.latimes.com/people/paul-pringle, 246, 117, text/html
https://www.latimes.com/world-nation/story/2021-09-20/photos-u-s-begins-removing-haitian-migrants-but-they-continue-to-flock-to-texas-border, 299, 116, text/html
https://www.latimes.com/science/newsletter/2021-09-21/coronavirus-today-comparing-states-death-rates-coronavirus-today, 318, 166, text/html
https://www.latimes.com/espanol/deportes/articulo/2021-09-22/da-checo-su-favorito-para-el-gp-de-rusia, 227, 79, text/html
https://www.latimes.com/sports/dodgers/story/2021-04-01/fernandomania-documentary-screening-q-a, 241, 126, text/html
https://www.latimes.com/politics/story/2021-09-22/millennials-gen-z-voting-record-numbers-trump-democrats-gop, 305, 135, text/html
https://www.latimes.com/privacy-policy, 245, 114, text/html
https://www.latimes.com/subscriber-terms-and-conditions, 208, 108, text/html
https://www.latimes.com/entertainment-arts/story/2021-08-17/covid-vaccination-delta-mandate-exceptions-la-phil-theaters, 274, 143, text/html
https://www.latimes.com/topic/op-ed, 311, 142, text/html
https://www.latimes.com/about/studios, 338, 145, text/html
https://www.latimes.com/opinion/story/2021-09-22/what-would-jesus-do-get-vaccinated, 295, 145, text/html
https://www.latimes.com/california/story/2021-09-21/how-california-reached-lowest-us-covid-transmission-rate, 307, 152, text/html
